Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0402_1005Metric",150.595000,-73.150000,180.000000,top
"C2","100n","C_0402_1005Metric",155.950000,-73.175000,180.000000,top
"C3","100n","C_0402_1005Metric",158.264411,-64.885589,45.000000,top
"C4","100n","C_0402_1005Metric",156.150000,-62.555000,90.000000,top
"C5","100n","C_0402_1005Metric",158.230000,-66.325000,0.000000,top
"C6","100n","C_0402_1005Metric",148.000000,-70.975000,-135.000000,top
"C7","100n","C_0402_1005Metric",157.775000,-70.380000,-90.000000,top
"C8","100n","C_0402_1005Metric",147.855000,-67.550000,180.000000,top
"C9","4.7u","C_0402_1005Metric",154.125000,-73.175000,0.000000,top
"C10","100n","C_0402_1005Metric",158.700000,-70.370000,-90.000000,top
"C11","10u","C_0603_1608Metric",152.075000,-62.900000,-90.000000,top
"C12","10u","C_0603_1608Metric",147.750000,-59.650000,90.000000,top
"C13","33pF","C_0402_1005Metric",148.600000,-76.220000,90.000000,top
"C14","33pF","C_0402_1005Metric",153.800000,-76.425000,-90.000000,top
"C15","4.7uF","C_0402_1005Metric",158.750000,-62.975000,90.000000,top
"C16","4.7uF","C_0402_1005Metric",155.225000,-62.550000,90.000000,top
"J2","Conn_01x07","PinHeader_1x07_P2.54mm_Vertical",145.175000,-59.485000,0.000000,top
"J3","Conn_01x07","PinHeader_1x07_P2.54mm_Vertical",161.075000,-74.725000,180.000000,top
"J4","USB_B_Micro","USB_Micro-B_Amphenol_10103594-0001LF_Horizontal_modified",153.275000,-56.925000,180.000000,top
"L1","3.3uH","L_0402_1005Metric",157.100000,-62.575000,-90.000000,top
"R3","27","R_0402_1005Metric",153.300000,-63.475000,-90.000000,top
"R4","27","R_0402_1005Metric",154.250000,-63.475000,-90.000000,top
"R5","1k","R_0402_1005Metric",153.800000,-74.565000,-90.000000,top
"R8","33","R_0402_1005Metric",158.750000,-61.115000,90.000000,top
"U1","MCP1700x-330xxTT","SOT-23",149.412500,-62.700000,0.000000,top
"U2","RP2350_60QFN","RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias",153.150000,-68.562500,0.000000,top
"Y1","12MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",151.200000,-75.400000,0.000000,top
